WORD,FREQUENCY
new,192102
york,101404
reviews,73730
column,72316
state,69488
city,58984
united,46258
states,43026
presidential,41006
trump,39188
first,38380
american,38178
noted,37370
say,37168
former,36966
one,36966
republican,35956
news,35956
million,33936
people,32724
says,32522
donald,32522
two,32118
j,32118
many,31714
police,31512
officials,30906
would,30300
government,30300
international,29694
campaign,29694
pres,28684
iowa,28482
book,27674
federal,27674
group,27472
clinton,27270
times,27270
part,27068
cruz,26462
world,26462
year,26462
years,25654
could,25452
article,25452
public,25250
president,25048
david,24240
percent,23836
age,23836
